Artigo,Funexpression
BCIN_11g00340,BCIN_03g04940
BCIN_12g00870,BCIN_03g04970
BCIN_09g05300,BCIN_03g04990
BCIN_15g03320,BCIN_03g05250
BCIN_01g05810,BCIN_03g05510
BCIN_02g01310,BCIN_03g05640
BCIN_06g03890,BCIN_03g05650
BCIN_05g03170,BCIN_03g05820
BCIN_02g03990,BCIN_03g05830
BCIN_16g03940,BCIN_03g06040
BCIN_03g00640,BCIN_03g06060
BCIN_06g07020,BCIN_03g06080
BCIN_11g00140,BCIN_03g06100
BCIN_16g02270,BCIN_03g06180
BCIN_11g03570,BCIN_03g06300
BCIN_09g05520,BCIN_03g06360
BCIN_03g07180,BCIN_03g06380
BCIN_01g02490,BCIN_03g06420
BCIN_15g04210,BCIN_03g06450
BCIN_05g08070,BCIN_03g06610
BCIN_05g07030,BCIN_03g06630
BCIN_09g07010,BCIN_03g06810
BCIN_04g00460,BCIN_03g06820
BCIN_16g01580,BCIN_03g06910
BCIN_16g01290,BCIN_03g06920
BCIN_06g01200,BCIN_03g07030
BCIN_05g01530,BCIN_03g07100
BCIN_07g01520,BCIN_03g07250
BCIN_07g02990,BCIN_03g07310
BCIN_10g03200,BCIN_03g07410
BCIN_09g02590,BCIN_03g07480
BCIN_01g07780,BCIN_03g07580
BCIN_01g03070,BCIN_03g07600
BCIN_10g00900,BCIN_03g07640
BCIN_02g02940,BCIN_03g07660
BCIN_10g01550,BCIN_03g07670
BCIN_01g07260,BCIN_03g07680
BCIN_08g00990,BCIN_03g07690
BCIN_05g01510,BCIN_03g07700
BCIN_04g01540,BCIN_03g07710
BCIN_11g00440,BCIN_03g07860
BCIN_08g03410,BCIN_03g07880
BCIN_06g00060,BCIN_03g07900
BCIN_15g00210,BCIN_03g08170
BCIN_11g05740,BCIN_03g08220
BCIN_09g03950,BCIN_03g08260
BCIN_03g04850,BCIN_03g08290
BCIN_07g01080,BCIN_03g08380
BCIN_03g01520,BCIN_03g08470
BCIN_13g00290,BCIN_03g08530
BCIN_01g09590,BCIN_03g08650
BCIN_04g03530,BCIN_03g08680
BCIN_02g04060,BCIN_03g08760
BCIN_16g01600,BCIN_03g08780
BCIN_10g00330,BCIN_03g08820
BCIN_09g03970,BCIN_03g08830
BCIN_06g00330,BCIN_03g08840
BCIN_13g05430,BCIN_03g09130
BCIN_12g02760,BCIN_03g09140
BCIN_11g04480,BCIN_03g09150
BCIN_05g00010,BCIN_03g09290
BCIN_02g01260,BCIN_03g09310
BCIN_13g03120,BCIN_04g00050
BCIN_04g06080,BCIN_04g00130
BCIN_09g05400,BCIN_04g00150
BCIN_15g02730,BCIN_04g00180
BCIN_04g01450,BCIN_04g00200
BCIN_16g04360,BCIN_04g00210
BCIN_08g05860,BCIN_04g00250
BCIN_03g01850,BCIN_04g00370
BCIN_14g04630,BCIN_04g00380
BCIN_13g05460,BCIN_04g00410
BCIN_12g06760,BCIN_04g00420
BCIN_08g00770,BCIN_04g00450
BCIN_08g05350,BCIN_04g00530
BCIN_07g06700,BCIN_04g00630
BCIN_06g04850,BCIN_04g00660
BCIN_07g03410,BCIN_04g00740
BCIN_08g01350,BCIN_04g00790
BCIN_02g06210,BCIN_04g00810
BCIN_08g03980,BCIN_04g00840
BCIN_12g05560,BCIN_04g00850
BCIN_01g01820,BCIN_04g00870
BCIN_03g03200,BCIN_04g00880
BCIN_05g06430,BCIN_04g00990
BCIN_04g05640,BCIN_04g01030
BCIN_08g01620,BCIN_04g01050
BCIN_06g00400,BCIN_04g01080
BCIN_02g02980,BCIN_04g01090
BCIN_09g02080,BCIN_04g01120
BCIN_12g01010,BCIN_04g01190
BCIN_07g04460,BCIN_04g01250
BCIN_03g02710,BCIN_04g01480
BCIN_05g03450,BCIN_04g01520
BCIN_09g00250,BCIN_04g01570
BCIN_02g06450,BCIN_04g01580
BCIN_03g04380,BCIN_04g01630
BCIN_05g01280,BCIN_04g01840
BCIN_07g05560,BCIN_04g01850
BCIN_09g04400,BCIN_04g01870
BCIN_02g06080,BCIN_04g01950
BCIN_10g03350,BCIN_04g01960
BCIN_05g03760,BCIN_04g02060
BCIN_09g04610,BCIN_04g02090
BCIN_01g10560,BCIN_04g02120
BCIN_03g00700,BCIN_04g02190
BCIN_05g05560,BCIN_04g02290
BCIN_09g03360,BCIN_04g02310
BCIN_13g01940,BCIN_04g02330
BCIN_14g02500,BCIN_04g02390
BCIN_14g00130,BCIN_04g02400
BCIN_01g11220,BCIN_04g02490
BCIN_06g03940,BCIN_04g02520
BCIN_11g06210,BCIN_04g02540
BCIN_12g04090,BCIN_04g02640
BCIN_06g07380,BCIN_04g02790
BCIN_06g07290,BCIN_04g02890
BCIN_06g00410,BCIN_04g02970
BCIN_05g05480,BCIN_04g03040
BCIN_05g02240,BCIN_04g03090
BCIN_16g04640,BCIN_04g03120
BCIN_06g01710,BCIN_04g03130
BCIN_02g03670,BCIN_04g03350
BCIN_02g05970,BCIN_04g03360
BCIN_11g02310,BCIN_04g03370
BCIN_02g02150,BCIN_04g03420
BCIN_01g09440,BCIN_04g03430
BCIN_13g02770,BCIN_04g03550
BCIN_05g01060,BCIN_04g03670
BCIN_12g05870,BCIN_04g03680
BCIN_16g00120,BCIN_04g03690
BCIN_05g01450,BCIN_04g03790
BCIN_03g06740,BCIN_04g03800
BCIN_05g02800,BCIN_04g03830
BCIN_03g05430,BCIN_04g03870
BCIN_06g05150,BCIN_04g03980
BCIN_01g03060,BCIN_04g04010
BCIN_13g04670,BCIN_04g04080
BCIN_11g03030,BCIN_04g04160
BCIN_11g04470,BCIN_04g04210
BCIN_01g08100,BCIN_04g04430
BCIN_09g05650,BCIN_04g04450
BCIN_12g01540,BCIN_04g04490
BCIN_08g05870,BCIN_04g04520
BCIN_03g00790,BCIN_04g04590
BCIN_06g01370,BCIN_04g04770
BCIN_09g04210,BCIN_04g04810
BCIN_15g03630,BCIN_04g04930
BCIN_05g04350,BCIN_04g05030
BCIN_12g03490,BCIN_04g05050
BCIN_04g04790,BCIN_04g05150
BCIN_16g01350,BCIN_04g05360
BCIN_05g00710,BCIN_04g05370
BCIN_03g05170,BCIN_04g05380
BCIN_12g00550,BCIN_04g05560
BCIN_15g03620,BCIN_04g05600
BCIN_04g05200,BCIN_04g05610
BCIN_01g05680,BCIN_04g05850
BCIN_10g02060,BCIN_04g05990
BCIN_08g04080,BCIN_04g06030
BCIN_12g00860,BCIN_04g06040
BCIN_11g00380,BCIN_04g06050
BCIN_16g04590,BCIN_04g06070
BCIN_05g01550,BCIN_04g06100
BCIN_09g05970,BCIN_04g06340
BCIN_02g01740,BCIN_04g06350
BCIN_05g06320,BCIN_04g06360
BCIN_12g04410,BCIN_04g06370
BCIN_09g03810,BCIN_04g06390
BCIN_13g04920,BCIN_04g06430
BCIN_09g04020,BCIN_04g06520
BCIN_15g03820,BCIN_04g06530
BCIN_16g04040,BCIN_04g06540
BCIN_05g01690,BCIN_04g06600
BCIN_15g00760,BCIN_04g06610
BCIN_03g06120,BCIN_04g06650
BCIN_11g00540,BCIN_04g06660
BCIN_10g02280,BCIN_04g06680
BCIN_09g02270,BCIN_04g06720
BCIN_16g01800,BCIN_04g06790
BCIN_05g05210,BCIN_05g00090
BCIN_13g00770,BCIN_05g00130
BCIN_02g01080,BCIN_05g00140
BCIN_03g00620,BCIN_05g00220
BCIN_13g00840,BCIN_05g00240
BCIN_05g06290,BCIN_05g00360
BCIN_03g02440,BCIN_05g00410
BCIN_09g04650,BCIN_05g00540
BCIN_07g06620,BCIN_05g00570
BCIN_14g02460,BCIN_05g00620
BCIN_05g07640,BCIN_05g00630
BCIN_11g04050,BCIN_05g00680
BCIN_02g02320,BCIN_05g00740
BCIN_04g05940,BCIN_05g00750
BCIN_13g01880,BCIN_05g00760
BCIN_10g04030,BCIN_05g00790
