Gene_ID	Gene_Name	logFC	logCPM	LR	PValue	FDR
BCIN_04g05500	Bcura4	-1.32774882275278	5.08245011108991	65.9960404778539	4.51829754986562e-16	4.55908405764283e-15
BCIN_03g02770	Uncharacterized	2.68187124159008	5.79883820535927	65.9198997079149	4.69626046237605e-16	4.73310466038298e-15
BCIN_01g05260	Bchap3	1.10817121548353	8.22471230492593	65.8051123850401	4.97789431370638e-16	5.01108027579775e-15
BCIN_02g04270	Uncharacterized	-1.34554437768372	4.6808662968433	65.6335139080852	5.43073642707584e-16	5.46055472287871e-15
BCIN_01g07550	Uncharacterized	-1.2596901790936	4.11445596963185	65.5767627975607	5.58939214955178e-16	5.61352371425813e-15
BCIN_03g05600	Uncharacterized	-1.63489060918568	4.61872728947027	65.5103004928156	5.78110185137011e-16	5.79929412992338e-15
BCIN_06g01260	Uncharacterized	-1.23876150465474	6.91423890263668	65.3621340726184	6.23249933584498e-16	6.24483373499625e-15
BCIN_14g04470	Uncharacterized	1.3198749046162	3.44170001787252	65.359779236547	6.23995111830179e-16	6.2450301482818e-15
BCIN_05g05630	Uncharacterized	1.80923454380106	5.58180170196046	64.9463762215337	7.6964236580895e-16	7.6937419773724e-15
BCIN_11g02820	Uncharacterized	1.24163656942249	6.55653723638618	64.8258425857122	8.18190284723579e-16	8.16956355059842e-15
BCIN_14g00270	Uncharacterized	-6.46033280752692	7.1045597031808	64.8037903759086	8.27398357253798e-16	8.25193239963318e-15
BCIN_06g04390	Bcrho3	-1.31371109969339	6.45628065098149	64.6453180540177	8.96691104463712e-16	8.93266242606386e-15
BCIN_06g03660	Uncharacterized	-1.23285899321651	5.83898489888459	64.5066252629042	9.62083037581157e-16	9.57300428261389e-15
BCIN_09g04020	Uncharacterized	-1.60603526879669	3.80660311676871	64.503067021429	9.63822039266295e-16	9.57923359349307e-15
BCIN_07g01710	Bcphb2	-0.946642088510302	7.36469931469631	64.4777946836375	9.76264082268171e-16	9.6881523151321e-15
BCIN_10g04400	Uncharacterized	1.5223271414139	7.22553672946549	64.4762450416579	9.77032207451454e-16	9.6881523151321e-15
BCIN_07g06830	Uncharacterized	1.44810154869919	3.91212606645994	64.4555818526882	9.87332488985183e-16	9.77902270735958e-15
BCIN_01g08100	Uncharacterized	-1.43034928774481	5.22896467134735	64.2419020273207	1.10043308418909e-15	1.08866983397879e-14
BCIN_02g01900	Uncharacterized	-1.21858912358912	3.9590616469654	64.2027749026373	1.1225054296054e-15	1.10923125517953e-14
BCIN_15g01180	Uncharacterized	-1.69707556022964	10.0338735716186	64.1696106871048	1.14156045133515e-15	1.12676729411028e-14
BCIN_06g03500	Uncharacterized	-1.23157441569642	5.29791464765778	64.0656053738001	1.20344265240187e-15	1.18648693118246e-14
BCIN_08g02690	Uncharacterized	2.15350887428544	3.0439356444466	63.850320868173	1.34240484536382e-15	1.32197694554307e-14
BCIN_14g04080	BcfacB	-2.07399046670819	6.34997768683166	63.6855646792067	1.4595015032684e-15	1.4356490787007e-14
BCIN_16g03600	Uncharacterized	-1.26296073703079	3.6570251073689	63.6510973078198	1.4852623202867e-15	1.45932109482964e-14
BCIN_04g06430	Uncharacterized	2.30399807801713	5.02275864514601	63.6299661383771	1.50128012177868e-15	1.4733771959121e-14
BCIN_03g06500	Uncharacterized	-1.41249522138425	6.2514750727443	63.5911122362091	1.53118445607037e-15	1.50101419286989e-14
BCIN_08g03230	Uncharacterized	-2.4514128402851	2.2899996122133	63.5798506730931	1.53996291918705e-15	1.50790225772957e-14
BCIN_01g10680	Uncharacterized	1.94262271340572	6.38229156482624	63.5650027601663	1.55161396876473e-15	1.51758425331342e-14
BCIN_10g01780	Uncharacterized	-1.99748714714613	5.97247064957888	63.4193863900282	1.67065707141289e-15	1.63216179496603e-14
BCIN_05g03820	Uncharacterized	-2.11838435988062	2.76401765970893	63.348405624265	1.73195512307696e-15	1.69012899595504e-14
BCIN_12g04850	Uncharacterized	1.2265728147446	5.34449913607816	63.1031661225631	1.96158546167396e-15	1.91204598738707e-14
BCIN_14g01790	CND13	1.27231788475783	6.84562209848689	62.8980484274083	2.17687815037556e-15	2.11950115840299e-14
BCIN_02g07220	Uncharacterized	1.11803509637574	6.50450038118363	62.8482177271017	2.23265560949773e-15	2.17135218428779e-14
BCIN_05g00400	Bcpfa4	0.913178506154338	5.1523983845792	62.8429780839342	2.23860299764771e-15	2.1746790068571e-14
BCIN_03g01920	Bccat5	-2.60269055542593	9.90000573393132	62.8241440665697	2.26011220596318e-15	2.193098732438e-14
BCIN_04g06540	Uncharacterized	1.93545902865191	5.34774656309334	62.5501257877429	2.59748706697991e-15	2.51763189025857e-14
BCIN_06g02010	Uncharacterized	-1.01323571343241	5.17764620087666	62.5145947705216	2.64477405908313e-15	2.56058158903583e-14
BCIN_04g00860	Uncharacterized	1.54805471460577	6.55235864677182	62.3604936913178	2.86003405405075e-15	2.76587787676571e-14
